IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.31.1.9,apache22.trabalho_vulnnet,80,tcp,10.0,Critical,30,"VendorFix","Apache HTTP Server End of Life (EOL) Detection - Linux","The Apache HTTP Server version on the remote host has reached
  the End of Life (EOL) and should not be used anymore.","The ""Apache HTTP Server"" version on the remote host has reached the end of life.

CPE:               cpe:/a:apache:http_server:2.2.34
Installed version: 2.2.34
Location/URL:      80/tcp
EOL version:       2.2
EOL date:          2017-12-31
",1.3.6.1.4.1.25623.1.0.108085,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:33:09Z,8f4d6165-d33b-450e-bede-a6db455178e4,"An EOL version of the Apache HTTP Server is not receiving any
  security updates from the vendor. Unfixed security vulnerabilities might be leveraged by an
  attacker to compromise the security of this host.","Update the Apache HTTP Server version on the remote host to a
  still supported version.","","","Checks if an EOL version is present on the target host.
Details:
Apache HTTP Server End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.108085)
Version used: 2025-04-15T05:54:49Z
","Product: cpe:/a:apache:http_server:2.2.34
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","",""
172.31.1.9,apache22.trabalho_vulnnet,80,tcp,10.0,Critical,30,"VendorFix","OpenSSL End of Life (EOL) Detection - Linux","The OpenSSL version on the remote host has reached the end of
  life (EOL) and should not be used anymore.","The ""OpenSSL"" version on the remote host has reached the end of life.

CPE:               cpe:/a:openssl:openssl:1.0.1t
Installed version: 1.0.1t
Location/URL:      80/tcp
EOL version:       1.0.1
EOL date:          2016-07-06
",1.3.6.1.4.1.25623.1.0.113018,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:33:09Z,46697581-0b9d-4ab0-a12e-44d15ffbe27d,"An EOL version of OpenSSL is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update the OpenSSL version on the remote host to a still
  supported version.","","","Checks if an EOL version is present on the target host.
Details:
OpenSSL End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.113018)
Version used: 2025-07-09T05:43:50Z
","Product: cpe:/a:openssl:openssl:1.0.1t
Method: OpenSSL Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.145462)
","","",""
172.31.1.9,apache22.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","Apache HTTP Server < 2.4.54 Multiple Vulnerabilities - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.2.34
Fixed version:     2.4.54
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.148252,"CVE-2022-26377,CVE-2022-28614,CVE-2022-28615,CVE-2022-29404,CVE-2022-30556,CVE-2022-31813",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:33:09Z,2aad67c3-b78f-4b35-a844-39b9ed505de5,"","Update to version 2.4.54 or later.","Apache HTTP Server version 2.4.53 and prior.","The following vulnerabilities exist:

  - CVE-2022-26377: mod_proxy_ajp: Possible request smuggling

  - CVE-2022-28614: Read beyond bounds via ap_rwrite()

  - CVE-2022-28615: Read beyond bounds in ap_strcmp_match()

  - CVE-2022-29404: Denial of service in mod_lua r:parsebody

  - CVE-2022-30556: Information disclosure in mod_lua with websockets

  - CVE-2022-31813: mod_proxy X-Forwarded-For dropped by hop-by-hop mechanism","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.54 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.148252)
Version used: 2022-06-20T03:04:15Z
","Product: cpe:/a:apache:http_server:2.2.34
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2023-0119,DFN-CERT-2022-2799,DFN-CERT-2022-2789,DFN-CERT-2022-2652,DFN-CERT-2022-2509,DFN-CERT-2022-2310,DFN-CERT-2022-2167,DFN-CERT-2022-1837,DFN-CERT-2022-1833,DFN-CERT-2022-1720,DFN-CERT-2022-1353,DFN-CERT-2022-1296,WID-SEC-2024-1591,WID-SEC-2023-1969,WID-SEC-2023-0134,WID-SEC-2023-0132,WID-SEC-2022-1767,WID-SEC-2022-1766,WID-SEC-2022-1764,WID-SEC-2022-0858,WID-SEC-2022-0192,CB-K22/0692",""
172.31.1.9,apache22.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","Apache HTTP Server <= 2.4.52 Multiple Vulnerabilities - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.2.34
Fixed version:     2.4.53
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.113837,"CVE-2022-22719,CVE-2022-22720,CVE-2022-22721,CVE-2022-23943",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:33:09Z,45431b2a-e9d2-44ab-8139-21fd62407f1f,"","Update to version 2.4.53 or later.","Apache HTTP Server version 2.4.52 and prior.","The following vulnerabilities exist:

  - CVE-2022-22719: mod_lua Use of uninitialized value of in r:parsebody

  - CVE-2022-22720: HTTP request smuggling vulnerability

  - CVE-2022-22721: Possible buffer overflow with very large or unlimited LimitXMLRequestBody

  - CVE-2022-23943: mod_sed: Read/write beyond bounds","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server <= 2.4.52 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.113837)
Version used: 2022-03-21T03:03:41Z
","Product: cpe:/a:apache:http_server:2.2.34
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2022-2799,DFN-CERT-2022-2509,DFN-CERT-2022-2305,DFN-CERT-2022-2167,DFN-CERT-2022-1116,DFN-CERT-2022-1115,DFN-CERT-2022-1114,DFN-CERT-2022-0899,DFN-CERT-2022-0898,DFN-CERT-2022-0865,DFN-CERT-2022-0747,DFN-CERT-2022-0678,DFN-CERT-2022-0582,WID-SEC-2024-1591,WID-SEC-2022-1772,WID-SEC-2022-1335,WID-SEC-2022-1228,WID-SEC-2022-1161,WID-SEC-2022-1057,WID-SEC-2022-0898,WID-SEC-2022-0799,WID-SEC-2022-0755,WID-SEC-2022-0646,WID-SEC-2022-0432,WID-SEC-2022-0302,WID-SEC-2022-0290,CB-K22/0619,CB-K22/0306",""
172.31.1.9,apache22.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","Apache HTTP Server <= 2.4.51 Buffer Overflow Vulnerability - Linux","Apache HTTP Server is prone to a buffer overflow
  vulnerability.","Installed version: 2.2.34
Fixed version:     2.4.52
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.117856,"CVE-2021-44790",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:33:09Z,43b5914a-7248-4222-80f4-341f74a708d3,"","Update to version 2.4.52 or later.","Apache HTTP Server versions through 2.4.51.","A carefully crafted request body can cause a buffer overflow in
  the mod_lua multipart parser (r:parsebody() called from Lua scripts).","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server <= 2.4.51 Buffer Overflow Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117856)
Version used: 2021-12-23T12:12:57Z
","Product: cpe:/a:apache:http_server:2.2.34
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2022-1116,DFN-CERT-2022-1115,DFN-CERT-2022-1114,DFN-CERT-2022-0747,DFN-CERT-2022-0369,DFN-CERT-2022-0192,DFN-CERT-2022-0098,DFN-CERT-2022-0068,DFN-CERT-2021-2656,WID-SEC-2024-1591,WID-SEC-2024-0064,WID-SEC-2022-1908,WID-SEC-2022-1767,WID-SEC-2022-1057,WID-SEC-2022-0727,WID-SEC-2022-0432,WID-SEC-2022-0302,WID-SEC-2022-0190,CB-K22/0619,CB-K21/1296",""
172.31.1.9,apache22.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","Apache HTTP Server < 2.4.60 Multiple Vulnerabilities - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.2.34
Fixed version:     2.4.60
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.114682,"CVE-2024-36387,CVE-2024-38473,CVE-2024-38474,CVE-2024-38475,CVE-2024-38476,CVE-2024-38477,CVE-2024-39573",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:33:09Z,da2a6943-48ca-449b-9fbe-41c2590f7aa3,"","Update to version 2.4.60 or later.","Apache HTTP Server version 2.4.59 and prior.","The following flaws exist:

  - CVE-2024-36387: Denial of Service (DoS) by Null pointer in websocket over HTTP/2

  - CVE-2024-38473: Proxy encoding problem

  - CVE-2024-38474: Weakness with encoded question marks in backreferences

  - CVE-2024-38475: Weakness in mod_rewrite when first segment of substitution matches filesystem
  path

  - CVE-2024-38476: May use exploitable/malicious backend application output to run local handlers
  via internal redirect

  - CVE-2024-38477: Crash resulting in DoS in mod_proxy via a malicious request

  - CVE-2024-39573: mod_rewrite proxy handler substitution","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.60 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.114682)
Version used: 2025-08-07T05:44:51Z
","Product: cpe:/a:apache:http_server:2.2.34
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2025-1898,DFN-CERT-2025-1808,DFN-CERT-2025-0974,DFN-CERT-2025-0854,DFN-CERT-2025-0170,DFN-CERT-2024-2841,DFN-CERT-2024-2787,DFN-CERT-2024-2736,DFN-CERT-2024-2342,DFN-CERT-2024-2214,DFN-CERT-2024-2201,DFN-CERT-2024-2180,DFN-CERT-2024-2110,DFN-CERT-2024-2017,DFN-CERT-2024-1963,DFN-CERT-2024-1920,DFN-CERT-2024-1919,DFN-CERT-2024-1911,DFN-CERT-2024-1907,DFN-CERT-2024-1893,DFN-CERT-2024-1816,DFN-CERT-2024-1811,DFN-CERT-2024-1784,DFN-CERT-2024-1741,DFN-CERT-2024-1699,WID-SEC-2025-1572,WID-SEC-2025-0818,WID-SEC-2025-0148,WID-SEC-2025-0143,WID-SEC-2024-3291,WID-SEC-2024-3199,WID-SEC-2024-1913,WID-SEC-2024-1504",""
172.31.1.9,apache22.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","OpenSSL 1.0.2 and 1.0.1 Multiple Vulnerabilities (Sep 2016) - Linux","OpenSSL is prone to multiple vulnerabilities.","Installed version: 1.0.1t
Fixed version:     1.0.1u
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.107048,"CVE-2016-6306,CVE-2016-6303,CVE-2016-2181,CVE-2016-6302,CVE-2016-2182,CVE-2016-2180,CVE-2016-2179",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:33:09Z,0e384b23-cb4c-47ab-8eab-fa78b57174cc,"Successful exploitation could result in Denial of Service.","OpenSSL 1.0.2 users should upgrade to 1.0.2i, OpenSSL 1.0.1 users should upgrade to 1.0.1u.","OpenSSL 1.0.2 and 1.0.1.","OpenSSL suffers from the possibility of multiple vulnerabilities due to:

  1) Missing message length checks which results in Out of Bounds reads up to 2 bytes beyond the allocated buffer, this leads to Denial of Service. The attack works only if client authentication is enabled.

  2) Calling MDC2_Update() can cause an overflow if an attacker is able to supply very large amounts of input data after a previous
  call to EVP_EncryptUpdate() with a partial block then a length check can overflow resulting in a heap corruption.

  3) A malfored SHA512 TLS session ticket resulting in an Out of Bounds read which leads to service crash.

  4) Unchecking the return value of BN_div_word() function causing an Out of Bounds write if it is used with an overly large BIGNUM. TLS is not affected.

  5) Misusing OBJ_obj2txt() function by the function TS_OBJ_print_bio() will results in Out of Bounds reads when large OIDs are presented.

  6) DTLS out-of-order messages handling which enable an attacker to cause a DoS attack through memory exhaustion.

  7) A flaw in the DTLS replay attack protection mechanism enabling the attacker to send records for next epochs with a very large sequence number,
  this causes in dropping all the subsequent legitimate packets and causing a denial of service for a specific DTLS connection.","Checks if a vulnerable version is present on the target host.
Details:
OpenSSL 1.0.2 and 1.0.1 Multiple Vulnerabilities (Sep 2016) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.107048)
Version used: 2024-02-16T05:06:55Z
","Product: cpe:/a:openssl:openssl:1.0.1t
Method: OpenSSL Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.145462)
","","DFN-CERT-2019-1455,DFN-CERT-2018-1377,DFN-CERT-2018-0323,DFN-CERT-2018-0100,DFN-CERT-2017-1831,DFN-CERT-2017-1785,DFN-CERT-2017-1239,DFN-CERT-2017-0947,DFN-CERT-2017-0746,DFN-CERT-2017-0677,DFN-CERT-2017-0675,DFN-CERT-2017-0522,DFN-CERT-2017-0402,DFN-CERT-2017-0394,DFN-CERT-2017-0093,DFN-CERT-2017-0090,DFN-CERT-2017-0089,DFN-CERT-2017-0086,DFN-CERT-2016-2063,DFN-CERT-2016-1943,DFN-CERT-2016-1937,DFN-CERT-2016-1732,DFN-CERT-2016-1726,DFN-CERT-2016-1717,DFN-CERT-2016-1715,DFN-CERT-2016-1714,DFN-CERT-2016-1588,DFN-CERT-2016-1555,WID-SEC-2026-0180,WID-SEC-2025-1459,WID-SEC-2024-1277,WID-SEC-2024-0212,WID-SEC-2024-0211,WID-SEC-2024-0210,WID-SEC-2024-0209,CB-K20/1023,CB-K20/0321,CB-K20/0314,CB-K19/0618,CB-K19/0615,CB-K18/0296,CB-K18/0098,CB-K17/1753,CB-K17/1709,CB-K17/1202,CB-K17/0917,CB-K17/0724,CB-K17/0661,CB-K17/0657,CB-K17/0506,CB-K17/0394,CB-K17/0391,CB-K17/0098,CB-K17/0097,CB-K17/0086,CB-K17/0082,CB-K16/1958,CB-K16/1837,CB-K16/1830,CB-K16/1635,CB-K16/1630,CB-K16/1624,CB-K16/1622,CB-K16/1620,CB-K16/1500,CB-K16/1465",""
172.31.1.9,apache22.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","Apache HTTP Server < 2.4.49 Multiple Vulnerabilities - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.2.34
Fixed version:     2.4.49
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.146725,"CVE-2021-34798,CVE-2021-39275,CVE-2021-40438",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:33:09Z,57c00b14-056c-4756-b8ab-7a32b67b8bc8,"","Update to version 2.4.49 or later.","Apache HTTP Server version 2.4.48 and prior.","The following vulnerabilities exist:

  - CVE-2021-34798: NULL pointer dereference in httpd core

  - CVE-2021-39275: ap_escape_quotes buffer overflow

  - CVE-2021-40438: mod_proxy SSRF","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.49 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.146725)
Version used: 2022-08-09T10:11:17Z
","Product: cpe:/a:apache:http_server:2.2.34
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2023-0881,DFN-CERT-2022-2405,DFN-CERT-2022-2167,DFN-CERT-2022-0904,DFN-CERT-2022-0878,DFN-CERT-2022-0872,DFN-CERT-2022-0869,DFN-CERT-2022-0672,DFN-CERT-2022-0207,DFN-CERT-2022-0119,DFN-CERT-2022-0098,DFN-CERT-2021-2629,DFN-CERT-2021-2471,DFN-CERT-2021-2185,DFN-CERT-2021-2164,DFN-CERT-2021-2153,DFN-CERT-2021-2098,DFN-CERT-2021-2090,DFN-CERT-2021-2047,DFN-CERT-2021-2020,DFN-CERT-2021-1961,WID-SEC-2024-2180,WID-SEC-2024-1591,WID-SEC-2024-0186,WID-SEC-2024-0064,WID-SEC-2023-1969,WID-SEC-2023-1016,WID-SEC-2022-1298,WID-SEC-2022-1189,WID-SEC-2022-0724,WID-SEC-2022-0190,CB-K22/0476,CB-K22/0465,CB-K22/0463,CB-K21/0992",""
172.31.1.9,apache22.trabalho_vulnnet,80,tcp,9.0,Critical,30,"VendorFix","Apache HTTP Server < 2.4.55 Multiple Vulnerabilities - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.2.34
Fixed version:     2.4.55
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.149152,"CVE-2006-20001,CVE-2022-36760,CVE-2022-37436",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:33:09Z,b8d0acfe-a5c4-4ac8-a22f-18bc67a5bfd7,"","Update to version 2.4.55 or later.","Apache HTTP Server version 2.4.54 and prior.","The following vulnerabilities exist:

  - CVE-2006-20001: mod_dav out of bounds read, or write of zero byte

  - CVE-2022-36760: Possible request smuggling in mod_proxy_ajp

  - CVE-2022-37436: mod_proxy allows a backend to trigger HTTP response splitting","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.55 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.149152)
Version used: 2024-02-15T05:05:40Z
","Product: cpe:/a:apache:http_server:2.2.34
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2023-2545,DFN-CERT-2023-1895,DFN-CERT-2023-1297,DFN-CERT-2023-0658,DFN-CERT-2023-0548,DFN-CERT-2023-0497,DFN-CERT-2023-0118,WID-SEC-2024-3195,WID-SEC-2024-1591,WID-SEC-2024-0794,WID-SEC-2023-2674,WID-SEC-2023-1424,WID-SEC-2023-1022,WID-SEC-2023-0561,WID-SEC-2023-0110",""
172.31.1.9,apache22.trabalho_vulnnet,80,tcp,8.1,High,30,"VendorFix","Apache HTTP Server Man-in-the-Middle Attack Vulnerability (Jul 2016) - Linux","Apache HTTP Server is prone to a man-in-the-middle attack vulnerability.","Installed version: 2.2.34
Fixed version:     2.4.24
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.808632,"CVE-2016-5387",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:33:09Z,57c2bdd6-3d0c-4fa9-b278-0572809b6b95,"Successful exploitation will allow remote
  attackers to redirect an application's outbound HTTP traffic to an arbitrary
  proxy server via a crafted proxy header in an HTTP request.","Update to version 2.4.24, or 2.2.32, or later.","Apache HTTP Server through 2.4.23.

  NOTE: Apache HTTP Server 2.2.32 is not vulnerable.","The flaw is due to 'CGI Servlet' does not
  protect applications from the presence of untrusted client data in the
  'HTTP_PROXY' environment variable.","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server Man-in-the-Middle Attack Vulnerability (Jul 2016) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.808632)
Version used: 2024-02-08T14:36:53Z
","Product: cpe:/a:apache:http_server:2.2.34
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2017-2104,DFN-CERT-2017-1926,DFN-CERT-2017-1925,DFN-CERT-2017-1692,DFN-CERT-2017-0532,DFN-CERT-2017-0060,DFN-CERT-2016-2108,DFN-CERT-2016-1717,DFN-CERT-2016-1372,DFN-CERT-2016-1175,DFN-CERT-2016-1162,DFN-CERT-2016-1153,WID-SEC-2025-2522,WID-SEC-2025-0370,CB-K17/2013,CB-K17/1854,CB-K17/1842,CB-K17/1622,CB-K17/0527,CB-K17/0055,CB-K16/1995,CB-K16/1620,CB-K16/1289,CB-K16/1103,CB-K16/1088,CB-K16/1087",""
172.31.1.9,apache22.trabalho_vulnnet,80,tcp,7.5,High,30,"VendorFix","OpenSSL OCSP Status Request extension unbounded memory growth Vulnerability - Linux","OpenSSL is prone to a Denial of Service (DoS) vulnerability.","Installed version: 1.0.1t
Fixed version:     1.0.1u
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.107050,"CVE-2016-6304",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:33:09Z,055f98c7-1416-4ff2-9fed-cf9f555878ff,"Successful exploitation could result in service crash.","OpenSSL 1.1.0 users should upgrade to 1.1.0a. OpenSSL 1.0.2 users should upgrade to 1.0.2i. OpenSSL 1.0.1 users should upgrade to 1.0.1u.","OpenSSL 1.1.0 and previous versions.","OpenSSL suffers from the possibility of DoS attack through sending a large OCSP Status
  Request extensions which lead to unbounded memory growth on the server which in turn lead to denial of service.","Checks if a vulnerable version is present on the target host.
Details:
OpenSSL OCSP Status Request extension unbounded memory growth Vulnerability ...
(OID: 1.3.6.1.4.1.25623.1.0.107050)
Version used: 2024-02-15T05:05:40Z
","Product: cpe:/a:openssl:openssl:1.0.1t
Method: OpenSSL Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.145462)
","","DFN-CERT-2018-0323,DFN-CERT-2017-1831,DFN-CERT-2017-1785,DFN-CERT-2017-1485,DFN-CERT-2017-1239,DFN-CERT-2017-1124,DFN-CERT-2017-0988,DFN-CERT-2017-0947,DFN-CERT-2017-0677,DFN-CERT-2017-0675,DFN-CERT-2017-0090,DFN-CERT-2017-0089,DFN-CERT-2017-0086,DFN-CERT-2016-2063,DFN-CERT-2016-1943,DFN-CERT-2016-1937,DFN-CERT-2016-1898,DFN-CERT-2016-1859,DFN-CERT-2016-1734,DFN-CERT-2016-1732,DFN-CERT-2016-1726,DFN-CERT-2016-1715,DFN-CERT-2016-1714,DFN-CERT-2016-1588,DFN-CERT-2016-1555,WID-SEC-2026-0180,WID-SEC-2024-1277,WID-SEC-2024-0209,CB-K18/0296,CB-K17/1753,CB-K17/1709,CB-K17/1423,CB-K17/1202,CB-K17/1092,CB-K17/0955,CB-K17/0917,CB-K17/0661,CB-K17/0657,CB-K17/0098,CB-K17/0086,CB-K17/0082,CB-K16/1958,CB-K16/1837,CB-K16/1830,CB-K16/1784,CB-K16/1755,CB-K16/1638,CB-K16/1635,CB-K16/1630,CB-K16/1624,CB-K16/1622,CB-K16/1500,CB-K16/1465",""
172.31.1.9,apache22.trabalho_vulnnet,80,tcp,7.5,High,30,"VendorFix","OpenSSL: Integer overflow in CipherUpdate (CVE-2021-23840) - Linux","OpenSSL is prone to an integer overflow vulnerability.","Installed version: 1.0.1t
Fixed version:     1.0.2y / 1.1.1j
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.145407,"CVE-2021-23840",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:33:09Z,f59cf296-9846-4add-b63a-545743c499da,"This vulnerability could cause applications to behave incorrectly or crash.","Update to version 1.0.2y, 1.1.1j or later. See the references for
  more details.","OpenSSL versions 1.0.2x and prior and 1.1.1i and prior.","Calls to EVP_CipherUpdate, EVP_EncryptUpdate and EVP_DecryptUpdate may
  overflow the output length argument in some cases where the input length is close to the maximum permissible
  length for an integer on the platform. In such cases the return value from the function call will be 1
  (indicating success), but the output length value will be negative.","Checks if a vulnerable version is present on the target host.
Details:
OpenSSL: Integer overflow in CipherUpdate (CVE-2021-23840) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.145407)
Version used: 2021-08-30T10:29:27Z
","Product: cpe:/a:openssl:openssl:1.0.1t
Method: OpenSSL Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.145462)
","","DFN-CERT-2024-2451,DFN-CERT-2022-1582,DFN-CERT-2022-1571,DFN-CERT-2022-1215,DFN-CERT-2022-0121,DFN-CERT-2022-0076,DFN-CERT-2021-2527,DFN-CERT-2021-2394,DFN-CERT-2021-2223,DFN-CERT-2021-2216,DFN-CERT-2021-2214,DFN-CERT-2021-1996,DFN-CERT-2021-1803,DFN-CERT-2021-1670,DFN-CERT-2021-1547,DFN-CERT-2021-1418,DFN-CERT-2021-1061,DFN-CERT-2021-0862,DFN-CERT-2021-0829,DFN-CERT-2021-0818,DFN-CERT-2021-0806,DFN-CERT-2021-0740,DFN-CERT-2021-0409,DFN-CERT-2021-0379,DFN-CERT-2021-0363,WID-SEC-2026-0180,WID-SEC-2024-0794,WID-SEC-2022-1894,WID-SEC-2022-1320,WID-SEC-2022-0676,WID-SEC-2022-0669,WID-SEC-2022-0602,CB-K22/0061,CB-K21/0389,CB-K21/0185",""
