IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.31.1.27,mariadb10.trabalho_vulnnet,3306,tcp,10.0,Critical,30,"VendorFix","MariaDB End of Life (EOL) Detection - Linux","The MariaDB version on the remote host has reached the end of
  life (EOL) and should not be used anymore.","The ""MariaDB"" version on the remote host has reached the end of life.

CPE:               cpe:/a:mariadb:mariadb:10.0.38
Installed version: 10.0.38
EOL version:       10.0
EOL date:          2019-03-31
",1.3.6.1.4.1.25623.1.0.108186,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:26Z,dcbb623f-ca1a-4262-9a05-0322cc2bc5db,"An EOL version of MariaDB is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update the MariaDB version on the remote host to a still
  supported version.","","","Checks if an EOL version is present on the target host.
Details:
MariaDB End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.108186)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mariadb:mariadb:10.0.38
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","",""
172.31.1.27,mariadb10.trabalho_vulnnet,3306,tcp,9.8,Critical,95,"Mitigation","MySQL / MariaDB Default Credentials (MySQL Protocol)","It was possible to login into the remote MySQL using default
  credentials.","It was possible to login as user ""root"" with password ""root"".
",1.3.6.1.4.1.25623.1.0.103551,"CVE-2001-0645,CVE-2002-1809,CVE-2004-1532,CVE-2004-2357,CVE-2006-1451,CVE-2007-2554,CVE-2007-6081,CVE-2009-0919,CVE-2014-3419,CVE-2015-4669,CVE-2016-6531,CVE-2018-15719,CVE-2024-22901",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:26Z,4cc560f2-ae3d-4485-8cd9-7efce9c57fc0,"","'- Change the password as soon as possible

  - Contact the vendor for other possible fixes / updates","The following products are know to use such weak credentials:

  - CVE-2001-0645: Symantec/AXENT NetProwler 3.5.x

  - CVE-2002-1809: Windows binary release of MySQL 3.23.2 through 3.23.52

  - CVE-2004-1532: AppServ 2.5.x and earlier

  - CVE-2004-2357: Proofpoint Protection Server

  - CVE-2006-1451: MySQL Manager in Apple Mac OS X 10.3.9 and 10.4.6

  - CVE-2007-2554: Associated Press (AP) Newspower 4.0.1 and earlier

  - CVE-2007-6081: AdventNet EventLog Analyzer build 4030

  - CVE-2009-0919: XAMPP

  - CVE-2014-3419: Infoblox NetMRI before 6.8.5

  - CVE-2015-4669: Xsuite 2.x

  - CVE-2016-6531, CVE-2018-15719: Open Dental before version 18.4

  - CVE-2024-22901: Vinchin Backup & Recovery 7.2 and prior

  Other products might be affected as well.","","
Details:
MySQL / MariaDB Default Credentials (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.103551)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mariadb:mariadb:10.0.38
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","",""
172.31.1.27,mariadb10.trabalho_vulnnet,3306,tcp,8.8,High,30,"VendorFix","MariaDB Access Bypass Vulnerability - Linux","MariaDB is prone to an access bypass vulnerability.","Installed version: 10.0.38
Fixed version:     10.1.30

",1.3.6.1.4.1.25623.1.0.112198,"CVE-2017-15365",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:26Z,304c20ef-ec6e-4ac2-93b0-38ef102ec758,"A user with an SQL access to the server could possibly use this flaw
to perform database modification on certain cluster nodes without having privileges to perform such changes.","Update to MariaDB 10.1.30, 10.2.10 or later.","MariaDB before 10.1.30 and 10.2.x before 10.2.10.","sql/event_data_objects.cc in MariaDB allows remote authenticated users with SQL access
to bypass intended access restrictions and replicate data definition language (DDL) statements to cluster nodes by leveraging incorrect ordering of DDL replication and ACL checking.","Checks if a vulnerable version is present on the target host.
Details:
MariaDB Access Bypass Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.112198)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mariadb:mariadb:10.0.38
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2019-1152,DFN-CERT-2019-1047,DFN-CERT-2018-1276,DFN-CERT-2018-0067,CB-K18/0061",""
172.31.1.27,mariadb10.trabalho_vulnnet,3306,tcp,7.8,High,30,"VendorFix","MariaDB Multiple Vulnerabilities (Feb 2022) - Linux","MariaDB is prone to multiple vulnerabilities.","Installed version: 10.0.38
Fixed version:     10.2.42

",1.3.6.1.4.1.25623.1.0.147624,"CVE-2022-24048,CVE-2022-24050,CVE-2022-24051,CVE-2022-24052",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:26Z,7f01e18e-77aa-471b-8941-3e92f29152b8,"","Update to version 10.2.42, 10.3.33, 10.4.23, 10.5.14, 10.6.6,
  10.7.2, 10.8.1 or later.","MariaDB versions prior to 10.2.42, 10.3.x prior to 10.3.33,
  10.4.x prior to 10.4.23, 10.5.x prior to 10.5.14, 10.6.x prior to 10.6.6, 10.7.x prior to 10.7.2
  and 10.8.0.","","Checks if a vulnerable version is present on the target host.
Details:
MariaDB Multiple Vulnerabilities (Feb 2022) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.147624)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mariadb:mariadb:10.0.38
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2022-1928,DFN-CERT-2022-1777,DFN-CERT-2022-1717,DFN-CERT-2022-1688,DFN-CERT-2022-1667,DFN-CERT-2022-1597,DFN-CERT-2022-0500,DFN-CERT-2022-0460,DFN-CERT-2022-0327,WID-SEC-2022-0844,CB-K22/0171",""
172.31.1.27,mariadb10.trabalho_vulnnet,3306,tcp,7.5,High,30,"VendorFix","MariaDB Use-After-Free Vulnerability (MDEV-26281) - Linux","MariaDB is prone to a use-after-free vulnerability.","Installed version: 10.0.38
Fixed version:     10.2.44

",1.3.6.1.4.1.25623.1.0.104565,"CVE-2022-27377",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:26Z,54a650ac-b851-4a24-ab6f-65cf3be9c199,"","Update to version 10.2.44, 10.3.35, 10.4.25, 10.5.16, 10.6.8,
  10.7.4 or later.","MariaDB versions prior to 10.2.44, 10.3.x prior to 10.3.35,
  10.4.x prior to 10.4.25, 10.5.x prior to 10.5.16, 10.6.x prior to 10.6.8 and 10.7.x prior to
  10.7.4.","","Checks if a vulnerable version is present on the target host.
Details:
MariaDB Use-After-Free Vulnerability (MDEV-26281) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.104565)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mariadb:mariadb:10.0.38
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2022-2668,DFN-CERT-2022-2059,DFN-CERT-2022-1928,DFN-CERT-2022-1777,DFN-CERT-2022-1717,DFN-CERT-2022-1688,DFN-CERT-2022-1667,DFN-CERT-2022-1597,DFN-CERT-2022-1370,DFN-CERT-2022-1205,WID-SEC-2022-0166,CB-K22/0418",""
172.31.1.27,mariadb10.trabalho_vulnnet,3306,tcp,7.5,High,30,"VendorFix","MariaDB DoS Vulnerability (MDEV-28089) - Linux","MariaDB is prone to a denial of service (DoS) vulnerability.","Installed version: 10.0.38
Fixed version:     10.3.35

",1.3.6.1.4.1.25623.1.0.104616,"CVE-2022-27449",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:26Z,0be7679c-c405-4b72-8487-24fd8ade93c0,"","Update to version 10.3.35, 10.4.25, 10.5.16, 10.6.8, 10.7.4 or
  later.","MariaDB versions prior to 10.3.35, 10.4.x prior to 10.4.25,
  10.5.x prior to 10.5.16, 10.6.x prior to 10.6.8 and 10.7.x prior to 10.7.4.","DoS due segmentation fault via component sql/item_func.cc:148.","Checks if a vulnerable version is present on the target host.
Details:
MariaDB DoS Vulnerability (MDEV-28089) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.104616)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mariadb:mariadb:10.0.38
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2022-2668,DFN-CERT-2022-2059,DFN-CERT-2022-1928,DFN-CERT-2022-1777,DFN-CERT-2022-1717,DFN-CERT-2022-1688,DFN-CERT-2022-1667,DFN-CERT-2022-1205,WID-SEC-2022-0168,CB-K22/0461",""
172.31.1.27,mariadb10.trabalho_vulnnet,3306,tcp,7.5,High,30,"VendorFix","MariaDB DoS Vulnerability (MDEV-28094) - Linux","MariaDB is prone to a denial of service (DoS) vulnerability.","Installed version: 10.0.38
Fixed version:     10.4.25

",1.3.6.1.4.1.25623.1.0.104622,"CVE-2022-27451",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:26Z,24ef2d39-5452-4da4-8e87-140dd5460330,"","Update to version 10.4.25, 10.5.16, 10.6.8, 10.7.4 or later.","MariaDB versions prior 10.4.25, 10.5.x prior to 10.5.16, 10.6.x
  prior to 10.6.8 and 10.7.x prior to 10.7.4.","Segmentation fault via the component sql/field_conv.cc.","Checks if a vulnerable version is present on the target host.
Details:
MariaDB DoS Vulnerability (MDEV-28094) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.104622)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mariadb:mariadb:10.0.38
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2022-2668,DFN-CERT-2022-1777,DFN-CERT-2022-1717,DFN-CERT-2022-1688,DFN-CERT-2022-1667,DFN-CERT-2022-1205,WID-SEC-2022-0168,CB-K22/0461",""
172.31.1.27,mariadb10.trabalho_vulnnet,3306,tcp,7.5,High,30,"VendorFix","MariaDB DoS Vulnerability (MDEV-28095) - Linux","MariaDB is prone to a denial of service (DoS) vulnerability.","Installed version: 10.0.38
Fixed version:     10.3.35

",1.3.6.1.4.1.25623.1.0.126003,"CVE-2022-27448",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:26Z,c7d01916-fac2-46f4-996e-b4de2e0dbb72,"","Update to version 10.3.35, 10.4.25, 10.5.16, 10.6.8, 10.7.4
  or later.","MariaDB versions prior to 10.3.35, 10.4.x prior to 10.4.25,
  10.5.x prior to 10.5.16, 10.6.x prior to 10.6.8 and 10.7.x prior to 10.7.4.","There is an assertion failure in MariaDB Server via
  'node->pcur->rel_pos == BTR_PCUR_ON' at /row/row0mysql.cc.","Checks if a vulnerable version is present on the target host.
Details:
MariaDB DoS Vulnerability (MDEV-28095) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.126003)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mariadb:mariadb:10.0.38
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2022-2668,DFN-CERT-2022-2059,DFN-CERT-2022-1928,DFN-CERT-2022-1777,DFN-CERT-2022-1717,DFN-CERT-2022-1688,DFN-CERT-2022-1667,DFN-CERT-2022-1205,WID-SEC-2022-0168,CB-K22/0461",""
172.31.1.27,mariadb10.trabalho_vulnnet,3306,tcp,7.5,High,30,"VendorFix","MariaDB Use-After-Free Vulnerability (MDEV-28093) - Linux","MariaDB is prone to a use-after-free vulnerability.","Installed version: 10.0.38
Fixed version:     10.3.35

",1.3.6.1.4.1.25623.1.0.104620,"CVE-2022-27456",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:26Z,9bd49ef2-f216-4618-a07e-8c7c51b81514,"","Update to version 10.3.35, 10.4.25, 10.5.16, 10.6.8, 10.7.4 or
  later.","MariaDB versions prior to 10.3.35, 10.4.x prior to 10.4.25,
  10.5.x prior to 10.5.16, 10.6.x prior to 10.6.8 and 10.7.x prior to 10.7.4.","Use-after-free in the component VDec::VDec at /sql/sql_type.cc.","Checks if a vulnerable version is present on the target host.
Details:
MariaDB Use-After-Free Vulnerability (MDEV-28093) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.104620)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mariadb:mariadb:10.0.38
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2022-2668,DFN-CERT-2022-2059,DFN-CERT-2022-1928,DFN-CERT-2022-1777,DFN-CERT-2022-1717,DFN-CERT-2022-1688,DFN-CERT-2022-1667,DFN-CERT-2022-1205,WID-SEC-2022-0168,CB-K22/0461",""
172.31.1.27,mariadb10.trabalho_vulnnet,3306,tcp,7.5,High,30,"VendorFix","MariaDB Use-After-Free Vulnerability (MDEV-28098) - Linux","MariaDB is prone to a use-after-free vulnerability.","Installed version: 10.0.38
Fixed version:     10.4.25

",1.3.6.1.4.1.25623.1.0.104626,"CVE-2022-27457",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:26Z,efbeff7a-f20e-497a-b46a-1e372e61b23b,"","Update to version 10.4.25, 10.5.16, 10.6.8, 10.7.4 or later.","MariaDB versions prior 10.4.25, 10.5.x prior to 10.5.16, 10.6.x
  prior to 10.6.8 and 10.7.x prior to 10.7.4.","Use-after-free in the component my_mb_wc_latin1 at /strings/ctype-latin1.c.","Checks if a vulnerable version is present on the target host.
Details:
MariaDB Use-After-Free Vulnerability (MDEV-28098) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.104626)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mariadb:mariadb:10.0.38
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2022-2668,DFN-CERT-2022-1777,DFN-CERT-2022-1717,DFN-CERT-2022-1688,DFN-CERT-2022-1667,DFN-CERT-2022-1205,WID-SEC-2022-0168,CB-K22/0461",""
172.31.1.27,mariadb10.trabalho_vulnnet,3306,tcp,7.5,High,30,"VendorFix","MariaDB Use-After-Free Vulnerability (MDEV-28097) - Linux","MariaDB is prone to a use-after-free vulnerability.","Installed version: 10.0.38
Fixed version:     10.4.25

",1.3.6.1.4.1.25623.1.0.104624,"CVE-2022-27455",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:26Z,4817075f-662d-488b-af62-856b54649ad1,"","Update to version 10.4.25, 10.5.16, 10.6.8, 10.7.4 or later.","MariaDB versions prior 10.4.25, 10.5.x prior to 10.5.16, 10.6.x
  prior to 10.6.8 and 10.7.x prior to 10.7.4.","Use-after-free in the component my_wildcmp_8bit_impl at /strings/ctype-simple.c.","Checks if a vulnerable version is present on the target host.
Details:
MariaDB Use-After-Free Vulnerability (MDEV-28097) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.104624)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mariadb:mariadb:10.0.38
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2022-2668,DFN-CERT-2022-1777,DFN-CERT-2022-1717,DFN-CERT-2022-1688,DFN-CERT-2022-1667,DFN-CERT-2022-1205,WID-SEC-2022-0168,CB-K22/0461",""
172.31.1.27,mariadb10.trabalho_vulnnet,3306,tcp,7.5,High,30,"VendorFix","MariaDB DoS Vulnerability (MDEV-28080) - Linux","MariaDB is prone to a denial of service (DoS) vulnerability.","Installed version: 10.0.38
Fixed version:     10.4.25

",1.3.6.1.4.1.25623.1.0.104610,"CVE-2022-27444",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:26Z,07f0c885-538a-4d6e-a3e9-fb2d3dce1cce,"","Update to version 10.4.25, 10.5.16, 10.6.8, 10.7.4 or later.","MariaDB versions prior 10.4.25, 10.5.x prior to 10.5.16, 10.6.x
  prior to 10.6.8 and 10.7.x prior to 10.7.4.","Segmentation fault via the component sql/item_subselect.cc.","Checks if a vulnerable version is present on the target host.
Details:
MariaDB DoS Vulnerability (MDEV-28080) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.104610)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mariadb:mariadb:10.0.38
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2022-2668,DFN-CERT-2022-1777,DFN-CERT-2022-1717,DFN-CERT-2022-1688,DFN-CERT-2022-1667,DFN-CERT-2022-1597,DFN-CERT-2022-1205,WID-SEC-2022-0168,CB-K22/0461",""
172.31.1.27,mariadb10.trabalho_vulnnet,3306,tcp,7.5,High,30,"VendorFix","MariaDB DoS Vulnerability (MDEV-28081) - Linux","MariaDB is prone to a denial of service (DoS) vulnerability.","Installed version: 10.0.38
Fixed version:     10.2.44

",1.3.6.1.4.1.25623.1.0.104612,"CVE-2022-27445",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:26Z,3fca887f-efb1-4790-ab04-95edf9a5e625,"","Update to version 10.2.44, 10.3.35, 10.4.25, 10.5.16, 10.6.8,
  10.7.4 or later.","MariaDB versions prior to 10.2.44, 10.3.x prior to 10.3.35,
  10.4.x prior to 10.4.25, 10.5.x prior to 10.5.16, 10.6.x prior to 10.6.8 and 10.7.x prior to
  10.7.4.","DoS due segmentation fault via component sql/sql_window.cc.","Checks if a vulnerable version is present on the target host.
Details:
MariaDB DoS Vulnerability (MDEV-28081) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.104612)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mariadb:mariadb:10.0.38
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2022-2668,DFN-CERT-2022-2059,DFN-CERT-2022-1928,DFN-CERT-2022-1777,DFN-CERT-2022-1717,DFN-CERT-2022-1688,DFN-CERT-2022-1667,DFN-CERT-2022-1597,DFN-CERT-2022-1370,DFN-CERT-2022-1205,WID-SEC-2022-0168,CB-K22/0461",""
172.31.1.27,mariadb10.trabalho_vulnnet,3306,tcp,7.5,High,30,"VendorFix","MariaDB DoS Vulnerability (MDEV-28082) - Linux","MariaDB is prone to a denial of service (DoS) vulnerability.","Installed version: 10.0.38
Fixed version:     10.4.25

",1.3.6.1.4.1.25623.1.0.104614,"CVE-2022-27446",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:26Z,1555ab21-3583-40f2-ad90-190fc2df676e,"","Update to version 10.4.25, 10.5.16, 10.6.8, 10.7.4 or later.","MariaDB versions prior 10.4.25, 10.5.x prior to 10.5.16, 10.6.x
  prior to 10.6.8 and 10.7.x prior to 10.7.4.","Segmentation fault via the component sql/item_cmpfunc.h.","Checks if a vulnerable version is present on the target host.
Details:
MariaDB DoS Vulnerability (MDEV-28082) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.104614)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mariadb:mariadb:10.0.38
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2022-2668,DFN-CERT-2022-1777,DFN-CERT-2022-1717,DFN-CERT-2022-1688,DFN-CERT-2022-1667,DFN-CERT-2022-1205,WID-SEC-2022-0168,CB-K22/0461",""
172.31.1.27,mariadb10.trabalho_vulnnet,3306,tcp,7.5,High,30,"VendorFix","MariaDB DoS Vulnerability (MDEV-28090) - Linux","MariaDB is prone to a denial of service (DoS) vulnerability.","Installed version: 10.0.38
Fixed version:     10.3.35

",1.3.6.1.4.1.25623.1.0.104618,"CVE-2022-27452",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:26Z,8f928ce3-0b12-4762-b807-0b79bc05a1c3,"","Update to version 10.3.35, 10.4.25, 10.5.16, 10.6.8, 10.7.4 or
  later.","MariaDB versions prior to 10.3.35, 10.4.x prior to 10.4.25,
  10.5.x prior to 10.5.16, 10.6.x prior to 10.6.8 and 10.7.x prior to 10.7.4.","DoS due segmentation fault via component sql/item_cmpfunc.cc.","Checks if a vulnerable version is present on the target host.
Details:
MariaDB DoS Vulnerability (MDEV-28090) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.104618)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mariadb:mariadb:10.0.38
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2022-2668,DFN-CERT-2022-2059,DFN-CERT-2022-1928,DFN-CERT-2022-1777,DFN-CERT-2022-1717,DFN-CERT-2022-1688,DFN-CERT-2022-1667,DFN-CERT-2022-1205,WID-SEC-2022-0168,CB-K22/0461",""
172.31.1.27,mariadb10.trabalho_vulnnet,3306,tcp,7.5,High,30,"VendorFix","MariaDB Multiple DoS Vulnerabilities (MDEV-24176, MDEV-26407, MDEV-26437) - Linux","MariaDB is prone to multiple denial of service (DoS)
  vulnerabilities.","Installed version: 10.0.38
Fixed version:     10.3.35

",1.3.6.1.4.1.25623.1.0.148357,"CVE-2022-32085,CVE-2022-32087",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:26Z,9b1c25df-3c32-4a86-887c-653f0a48eec3,"","Update to version 10.3.35, 10.4.25, 10.5.16, 10.6.8, 10.7.4 or
  later.","MariaDB versions prior to 10.3.35, 10.4.x prior to 10.4.25,
  10.5.x prior to 10.5.16, 10.6.x prior to 10.6.8 and 10.7.x prior to 10.7.4.","The following vulnerabilities exist:

  - CVE-2022-32085: Server crashes in Item_func_in::cleanup/Item::cleanup_processor (MDEV-26407,
  MDEV-24176)

  - CVE-2022-32087: Server crashes in Item_args::walk_args (MDEV-26437, MDEV-24176)","Checks if a vulnerable version is present on the target host.
Details:
MariaDB Multiple DoS Vulnerabilities (MDEV-24176, MDEV-26407, MDEV-26437) - ...
(OID: 1.3.6.1.4.1.25623.1.0.148357)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mariadb:mariadb:10.0.38
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2022-2668,DFN-CERT-2022-2132,DFN-CERT-2022-2059,DFN-CERT-2022-1992,DFN-CERT-2022-1980,DFN-CERT-2022-1928,DFN-CERT-2022-1688,WID-SEC-2022-0584",""
172.31.1.27,mariadb10.trabalho_vulnnet,3306,tcp,7.5,High,30,"VendorFix","MariaDB Multiple Use-After-Free Vulnerabilities (MDEV-28099) - Linux","MariaDB is prone to multiple use-after-free vulnerabilities.","Installed version: 10.0.38
Fixed version:     10.3.35

",1.3.6.1.4.1.25623.1.0.126001,"CVE-2022-27447,CVE-2022-27458",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:26Z,e2f72294-e268-47a3-b783-fae0bfd82f2c,"","Update to version 10.3.35, 10.4.25, 10.5.16, 10.6.8, 10.7.4 or
  later.","MariaDB versions prior to 10.3.35, 10.4.x prior to 10.4.25,
  10.5.x prior to 10.5.16, 10.6.x prior to 10.6.8 and 10.7.x prior to 10.7.4.","The following vulnerabilities exist:

  - CVE-2022-27447: Use-after-free in the component Binary_string::free_buffer() at
  /sql/sql_string.h

  - CVE-2022-27458: Use-after-free in the component Binary_string::free_buffer() at
  /sql/sql_string.h","Checks if a vulnerable version is present on the target host.
Details:
MariaDB Multiple Use-After-Free Vulnerabilities (MDEV-28099) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.126001)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mariadb:mariadb:10.0.38
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2022-2668,DFN-CERT-2022-2059,DFN-CERT-2022-1928,DFN-CERT-2022-1777,DFN-CERT-2022-1717,DFN-CERT-2022-1688,DFN-CERT-2022-1667,DFN-CERT-2022-1205,WID-SEC-2022-0168,CB-K22/0461",""
